Product Category Master — one row per Decora product category (raw sheet) describing how it prices and what it supports.,,,,,,,,,
Supplier,Product Category,Pricing Method,Uses Fabric Band?,Uses Item Band?,Width/Drop Matrix?,Accessory Pricing?,Motorisation Compatible?,Parsing Status,Notes
Decora,25mm Alumitex,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,Cassettes,Width x Drop Grid,No,Yes,Yes,No,No,Automated,
Decora,Contract Roller,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,Contract Vertical,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,Cruze F2F Aluminium,Width x Drop Grid,No,Yes,Yes,No,Yes,Automated,
Decora,Cruze Fascia Softshade,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Cruze FH & Tensioned,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Cruze Fit To Frame,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Cruze Roller Motorisation,Flat Item Price List,No,Yes,No,Yes,Yes,Automated,
Decora,Durashade,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Fauxwood,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Accessories,Width x Drop Grid,Yes,No,Yes,Yes,No,Automated,
Decora,FB Curtains - Double Pinch,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Curtains - Eyelet,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Curtains - Pencil Pleat,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Curtains - Triple Pinch,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Panels,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Roller,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,FB Romans,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Slats Only ,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Softcell V-Series,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,FB Verticals,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,FB Wave Curtain,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Insect Screens,Width x Drop Grid,No,Yes,Yes,No,No,Automated,
Decora,Nuvo Curtains - Double Pinch,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Nuvo Curtains - Eyelet,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Nuvo Curtains - Pencil Pleat,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Nuvo Curtains - Wave,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Nuvo Roller,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,Nuvo Romans,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Nuvo Tracks & Accessories,Width x Drop Grid,No,Yes,Yes,Yes,No,Automated,
Decora,NuVo Vertical,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,NuVo Vertical Slats Only,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,Perfect Fit Alumitex,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Perfect Fit Cruze BU,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Perfect Fit Cruze TDBU,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Perfect Fit Roller,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,Yes,Automated - QA Recommended,
Decora,Perfect Fit Sunwood ,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,No,Automated - QA Recommended,
Decora,PF Shutter Blind,Width x Drop Grid,No,Yes,Yes,No,No,Automated,
Decora,Prime Alumitex,Width x Drop Grid,Yes,No,Yes,No,Yes,Automated,
Decora,Santa Fe Shutters,Per SqM / % Uplift Rules (manual pricing logic),No,Yes,No,No,No,Manual - Not Automated,
Decora,Skye Roof,Fixed Item Code Price by Band,No,Yes,No,No,Yes,Partially Automated - QA Required,
Decora,Softshade Perfect Fit,Width x Drop Grid (Complex multi-section headers - QA recommended),Yes,No,Yes,No,No,Automated - QA Recommended,
Decora,Somfy Roller Motorisation,Flat Item Price List,No,Yes,No,Yes,Yes,Automated,
Decora,Somfy Venetian Motorisation,Flat Item Price List,No,Yes,No,Yes,No,Automated,
Decora,Somfy Zigbee Roller Motor,Flat Item Price List,No,Yes,No,Yes,Yes,Automated,
Decora,Somfy Zigbee Venetian Motor,Flat Item Price List,No,Yes,No,Yes,No,Automated,
Decora,Starwood,"NOT YET PRICED - colours/sizes only, no trade book price grid found for this product",No,Yes,No,No,Yes,Colours/sizes sourced from SPEC03 - pricing not available,"Discovered via spec PDF only, absent from trade book and Datasets CSVs. Confirm current pricing with Decora before quoting."
Decora,Stelor Motorisation,Flat Item Price List,No,Yes,No,Yes,No,Automated,
Decora,Sunwood,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Tie Backs & Cushion Covers,"Item x Band Flat Table (small, not yet automated)",No,Yes,No,No,No,Manual - Not Automated,
Decora,Timberlux Prime,Width x Drop Grid,Yes,No,Yes,No,No,Automated,
Decora,Tracks & Accessories,Width x Drop Grid,No,Yes,Yes,Yes,No,Automated,
